id,migration,batch
1,0001_01_01_000000_create_users_table,1
2,0001_01_01_000001_create_cache_table,1
3,0001_01_01_000002_create_jobs_table,1
4,2024_07_10_134838_add_colung,2
5,2024_07_06_155535_biodatas,3
6,2024_07_06_160824_biodatas,3
7,2024_08_19_140550_employees,4
8,2024_08_20_064824_addemployee,5
9,2024_08_20_070117_tableemplo,6
10,2024_08_20_070330_deleteeid,7
11,2024_08_20_070928_editeid,8
12,2024_08_20_071302_del,9
13,2024_08_20_072959_options,10
14,2024_08_20_091219_editposition,11
15,2024_08_20_091617_epo,12
16,2024_08_21_023638_editjobtitle,13
17,2024_08_21_024527_edijob,14
18,2024_08_21_060700_renamjob,15
19,2024_08_21_060901_renamjobb,16
20,2024_08_21_063036_renampos,17
21,2024_08_21_071821_updatedivision,18
22,2024_08_21_072010_aaupdatedivision,19
23,2024_08_21_073031_editdepartment,20
24,2024_08_21_073649_edepert,21
25,2024_08_22_022406_sales,22
26,2024_08_22_042954_presence,23
27,2024_08_22_082816_on_day_calendar,24
28,2024_08_22_084642_edit_on_day_calendar,25
29,2024_08_22_112501_editsalesperson,26
30,2024_08_22_112746_edittsales,27
31,2024_08_22_113028_edittsaless,28
32,2024_08_22_113330_edittsalessss,29
33,2024_08_23_071804_aaposition,30
34,2024_08_23_090756_jobposkuwalik,31
35,2024_08_23_091244_addsecjob,32
36,2024_08_24_043241_options,33
37,2024_08_26_040243_workload,34
38,2024_08_26_040953_rename_work,35
39,2024_08_26_044255_sales_edit,36
40,2024_08_26_044602_ssales_edit,37
41,2024_08_27_043959_employee_status,38
42,2024_08_27_061027_add_status_employee,39
43,2024_08_28_024740_schedulee,40
44,2024_08_28_081151_overrr,41
45,2024_08_28_104043_oover,42
46,2024_08_28_104450_ooover,43
47,2024_08_28_132959_city_employee,44
48,2024_08_28_134704_city_employeedd,45
52,2024_08_29_043619_presenlate,49
53,2024_08_29_081018_presns,50
89,2024_08_28_165052_eidpres,51
90,2024_08_28_165238_eidpresaa,51
91,2024_08_28_165338_eidpresaaaa,51
92,2024_09_02_042913_grade_pa,52
93,2024_09_02_043057_performance_appraisals,52
94,2024_09_02_043529_performance_kpis,53
95,2024_09_02_050054_rename_performance_appraisals,54
96,2024_09_02_155105_add_index_to_work_schedule_name,55
97,2024_09_03_024255_payrolls,56
98,2024_09_03_043637_drop_job_kpi,57
99,2024_09_03_090412_delete_kpi,57
100,2024_09_03_101616_kpi_optionsss,58
101,2024_09_04_022602_kpi_id_positio,58
102,2024_09_04_024842_aa_kpi_id_positio,58
103,2024_09_04_025155_aga_kpi_id_positio,58
104,2024_09_04_030242_kkaga_kpi_id_positio,59
105,2024_09_04_030549_hhkkaga_kpi_id_positio,59
106,2024_09_04_163600_performance_kpi,60
107,2024_09_07_080837_grade_pa_eid,61
108,2024_09_08_120458_edit_table_employees,61
109,2024_09_08_133520_edit_job_employee,61
110,2024_09_08_141333_edit_type_job_employee,61
111,2024_09_08_141656_rename_jobtitl_employee,61
112,2024_09_08_144359_drop_payroll_options,61
113,2024_09_08_153358_edit_overtimes,61
114,2024_09_08_153832_rename_overtimes,61
115,2024_09_08_162736_edit_grade_pa,61
116,2024_09_08_171510_editlagi_grade_pa,61
117,2024_09_09_030541_grade_pa_edit_lagi,61
118,2024_09_09_034414_delete_row_grade_pa,61
119,2024_09_09_042526_ddelete_row_grade_pa,61
120,2024_09_09_044443_edit_month_grade_pa,61
121,2024_09_10_080552_edit_kpi,61
122,2024_09_11_041508_delete_row_grade_kpi,61
123,2024_09_11_043724_deletelagi,61
124,2024_09_11_043827_ddeletelagi,61
125,2024_09_11_064408_add_achievement_grade_kpi,62
126,2024_09_11_065844_edit_tipe_grade_kpi,63
127,2024_09_11_071744_ee_edit_tipe_grade_kpi,64
128,2024_09_11_073318_appraisal_edit,65
129,2024_09_11_073608_d_appraisal_edit,66
130,2024_09_14_013043_edit_sales,67
131,2024_09_14_120638_edit_sales_lagi,68
132,2024_09_16_042457_truncate_presence,69
133,2024_09_18_103236_edit_presences,70
134,2024_09_18_144331_pree,71
